boundary,subconstraint,diagram_source,diagram_label,diagram_nodes,diagram_circuit_labels,etys_line_id,etys_bus0,etys_bus1,sign,confidence,notes
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Drax; Eggborough",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,DRAX42_EGGB41_0,DRAX42,EGGB41,negative,medium,"Parallel Drax/Eggborough diagnostic bypass; sign follows observed proxy flow direction."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Drax; Thornton",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,DRAX42_THOM41_0,DRAX42,THOM41,positive,medium,"Drax-Thornton path is part of the Yorkshire-Humber proxy."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Drax; Thornton",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,DRAX42_THTO41_0,DRAX42,THTO41,negative,medium,"Parallel Drax/Thornton diagnostic bypass; sign follows observed proxy flow direction."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Eggborough; Rochdale",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,EGGB41_ROCH4A_0,EGGB41,ROCH4A,positive,medium,"Proxy leg south/west of the Yorkshire SHARN region."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Eggborough; Thorpe Marsh",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,EGGB41_THOM41_0,EGGB41,THOM41,positive,high,"Diagram shows Eggborough/Thorpe Marsh close to the eastern SHARN area."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Eggborough; Stocksbridge",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,EGGB42_STSB4B_0,EGGB42,STSB4B,positive,medium,"Proxy leg into the Yorkshire-Humber southern side."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Fenwick; Keadby",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,FENW4A_KEAD42_0,FENW4A,KEAD42,positive,medium,"High-flow diagnostic bypass through the Fenwick/Keadby path visible in the wider Yorkshire-Humber area."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Fenwick; Thorpe Marsh",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,FENW4A_THOM42_0,FENW4A,THOM42,negative,medium,"Parallel Fenwick/Thorpe Marsh diagnostic bypass; sign follows observed proxy flow direction."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Grimsby West; Humber Bank; Keadby; Killingholme",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,GART4A_HUMR41_0,GART4A,HUMR41,positive,medium,"Image shows the Humber/Keadby/Killingholme cluster; ETYS bus label differs from diagram label."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Grimsby West; Keadby",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,GART4A_KEAD43_0,GART4A,KEAD43,positive,medium,"Keadby/Humber proxy corridor."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Grimsby West; Keadby",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,GART4B_KEAD41_0,GART4B,KEAD41,positive,medium,"Parallel Keadby/Humber proxy corridor."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Grimsby West; Killingholme",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,GART4B_KILL41_0,GART4B,KILL41,positive,medium,"Humber/Killingholme proxy corridor."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Cottam; Keadby",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,COTT41_KEAD4C_0,COTT41,KEAD4C,negative,low,"High-flow diagnostic bypass near the southern/eastern Yorkshire-Humber paths; exact diagram membership is inferred."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Cottam; Keadby",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,COTT41_KEAD4D_0,COTT41,KEAD4D,negative,low,"Parallel Cottam/Keadby diagnostic bypass."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Cottam; Staythorpe",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,COTT41_STAY41_0,COTT41,STAY41,negative,low,"High-flow diagnostic bypass near Cottam/Staythorpe; exact diagram membership is inferred."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Cottam; Staythorpe",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,COTT42_STAY41_0,COTT42,STAY41,positive,low,"Parallel Cottam/Staythorpe diagnostic bypass; this is frequently highly loaded during NESO SSHARN hours."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Keadby; West Burton",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,KEAD42_WBUR42_0,KEAD42,WBUR42,positive,low,"High-flow diagnostic bypass near Keadby/West Burton; exact diagram membership is inferred."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Keadby; West Burton",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,KEAD43_WBUR41_0,KEAD43,WBUR41,positive,low,"Parallel Keadby/West Burton diagnostic bypass."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Keadby; Killingholme",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,KEAD43_KILL41_0,KEAD43,KILL41,negative,low,"High-flow diagnostic bypass near Keadby/Killingholme; sign follows observed proxy flow direction."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Norton; Osbaldwick",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,NORT41_OSBA41_0,NORT41,OSBA41,positive,high,"Diagram-backed Norton-Osbaldwick interface."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Norton; Osbaldwick",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,NORT41_OSBA42_0,NORT41,OSBA42,positive,high,"Parallel Norton-Osbaldwick interface."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Greystones; Lackenby",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,GRST2A_LACK2A_0,GRST2A,LACK2A,negative,high,"Diagram explicitly shows Greystones/Lackenby; sign flipped for the proxy convention."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Greystones; Lackenby",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,GRST2A_LACK2B_0,GRST2A,LACK2B,negative,high,"Parallel Greystones-Lackenby leg."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Greystones; Lackenby",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,GRST2B_LACK2B_0,GRST2B,LACK2B,negative,high,"Parallel Greystones-Lackenby leg."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Greystones; Lackenby",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,GRST2B_LACK2C_0,GRST2B,LACK2C,negative,high,"Parallel Greystones-Lackenby leg."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Killingholme; Hawthorn Pit",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,KILL41_HOWA41_0,KILL41,HOWA41,negative,medium,"Proxy leg on the Humber/east-coast side of the image."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Killingholme; Hawthorn Pit",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,KILL41_HOWA41_1,KILL41,HOWA41,negative,medium,"Parallel Killingholme-Hawthorn Pit leg."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Osbaldwick; Thornton",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,OSBA41_THTO43_0,OSBA41,THTO43,negative,medium,"Diagram-backed Yorkshire edge but sign is inferred from ETYS bus ordering."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Osbaldwick; Thornton",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,OSBA42_THTO41_0,OSBA42,THTO41,negative,medium,"Parallel Osbaldwick-Thornton leg."
SSHARN,SSHARN_SPARSE_GATE_FIT,resources/analysis/neso_diagram_sources/image2.jpg,SHARN sparse diagnostic gate,"Norton; Osbaldwick",sparse gate fitted to January and June NESO SSHARN high-hour magnitude,NORT41_OSBA42_0,NORT41,OSBA42,positive,medium,"Sparse diagnostic gate member; line is diagram-backed and statistically selected."
SSHARN,SSHARN_SPARSE_GATE_FIT,resources/analysis/neso_diagram_sources/image2.jpg,SHARN sparse diagnostic gate,"Cottam; Staythorpe",sparse gate fitted to January and June NESO SSHARN high-hour magnitude,COTT42_STAY41_0,COTT42,STAY41,positive,low,"Sparse diagnostic gate member; high-flow model path near Yorkshire/Humber but exact diagram membership is inferred."
SSHARN,SSHARN_SPARSE_GATE_FIT,resources/analysis/neso_diagram_sources/image2.jpg,SHARN sparse diagnostic gate,"Drax; Fenwick",sparse gate fitted to January and June NESO SSHARN high-hour magnitude,DRAX41_FENW4A_0,DRAX41,FENW4A,positive,medium,"Sparse diagnostic gate member; Drax/Fenwick corridor is in the image-backed Yorkshire/Humber area."
SSHARN,SSHARN_SPARSE_GATE_FIT,resources/analysis/neso_diagram_sources/image2.jpg,SHARN sparse diagnostic gate,"Cottam; Staythorpe",sparse gate fitted to January and June NESO SSHARN high-hour magnitude,COTT41_STAY41_0,COTT41,STAY41,negative,low,"Sparse diagnostic gate member; sign chosen from observed proxy flow direction."
SSHARN,SSHARN_SPARSE_GATE_FIT,resources/analysis/neso_diagram_sources/image2.jpg,SHARN sparse diagnostic gate,"Eggborough; Thorpe Marsh",sparse gate fitted to January and June NESO SSHARN high-hour magnitude,EGGB41_THOM41_0,EGGB41,THOM41,positive,medium,"Sparse diagnostic gate member; Eggborough/Thorpe Marsh is in the image-backed Yorkshire/Humber area."
SSHARN,SSHARN_SPARSE_GATE_FIT,resources/analysis/neso_diagram_sources/image2.jpg,SHARN sparse diagnostic gate,"Drax; Thorpe Marsh",sparse gate fitted to January and June NESO SSHARN high-hour magnitude,DRAX42_THOM41_0,DRAX42,THOM41,positive,medium,"Sparse diagnostic gate member; Drax/Thorpe Marsh is in the image-backed Yorkshire/Humber area."
